transaction_id,sender_id,receiver_id,amount,timestamp
TX_000000,ACC_0000,ACC_0031,3.75,2026-01-01 00:00:00
TX_000001,ACC_0001,ACC_0048,7.50,2026-01-01 00:01:00
TX_000002,ACC_0002,ACC_0065,11.25,2026-01-01 00:02:00
TX_000003,ACC_0003,ACC_0082,15.00,2026-01-01 00:03:00
TX_000004,ACC_0004,ACC_0099,18.75,2026-01-01 00:04:00
TX_000005,ACC_0005,ACC_0116,22.50,2026-01-01 00:05:00
TX_000006,ACC_0006,ACC_0133,26.25,2026-01-01 00:06:00
TX_000007,ACC_0007,ACC_0150,30.00,2026-01-01 00:07:00
TX_000008,ACC_0008,ACC_0167,33.75,2026-01-01 00:08:00
TX_000009,ACC_0009,ACC_0184,37.50,2026-01-01 00:09:00
TX_000010,ACC_0010,ACC_0201,41.25,2026-01-01 00:10:00
TX_000011,ACC_0011,ACC_0218,45.00,2026-01-01 00:11:00
TX_000012,ACC_0012,ACC_0235,48.75,2026-01-01 00:12:00
TX_000013,ACC_0013,ACC_0252,52.50,2026-01-01 00:13:00
TX_000014,ACC_0014,ACC_0269,56.25,2026-01-01 00:14:00
TX_000015,ACC_0015,ACC_0286,60.00,2026-01-01 00:15:00
TX_000016,ACC_0016,ACC_0303,63.75,2026-01-01 00:16:00
TX_000017,ACC_0017,ACC_0320,67.50,2026-01-01 00:17:00
TX_000018,ACC_0018,ACC_0337,71.25,2026-01-01 00:18:00
TX_000019,ACC_0019,ACC_0354,75.00,2026-01-01 00:19:00
TX_000020,ACC_0020,ACC_0371,78.75,2026-01-01 00:20:00
TX_000021,ACC_0021,ACC_0388,82.50,2026-01-01 00:21:00
TX_000022,ACC_0022,ACC_0405,86.25,2026-01-01 00:22:00
TX_000023,ACC_0023,ACC_0422,90.00,2026-01-01 00:23:00
TX_000024,ACC_0024,ACC_0439,93.75,2026-01-01 00:24:00
TX_000025,ACC_0025,ACC_0456,97.50,2026-01-01 00:25:00
TX_000026,ACC_0026,ACC_0473,101.25,2026-01-01 00:26:00
TX_000027,ACC_0027,ACC_0490,105.00,2026-01-01 00:27:00
TX_000028,ACC_0028,ACC_0507,108.75,2026-01-01 00:28:00
TX_000029,ACC_0029,ACC_0524,112.50,2026-01-01 00:29:00
TX_000030,ACC_0030,ACC_0541,116.25,2026-01-01 00:30:00
TX_000031,ACC_0031,ACC_0558,120.00,2026-01-01 00:31:00
TX_000032,ACC_0032,ACC_0575,123.75,2026-01-01 00:32:00
TX_000033,ACC_0033,ACC_0592,127.50,2026-01-01 00:33:00
TX_000034,ACC_0034,ACC_0609,131.25,2026-01-01 00:34:00
TX_000035,ACC_0035,ACC_0626,135.00,2026-01-01 00:35:00
TX_000036,ACC_0036,ACC_0643,138.75,2026-01-01 00:36:00
TX_000037,ACC_0037,ACC_0660,142.50,2026-01-01 00:37:00
TX_000038,ACC_0038,ACC_0677,146.25,2026-01-01 00:38:00
TX_000039,ACC_0039,ACC_0694,150.00,2026-01-01 00:39:00
TX_000040,ACC_0040,ACC_0711,153.75,2026-01-01 00:40:00
TX_000041,ACC_0041,ACC_0728,157.50,2026-01-01 00:41:00
TX_000042,ACC_0042,ACC_0745,161.25,2026-01-01 00:42:00
TX_000043,ACC_0043,ACC_0762,165.00,2026-01-01 00:43:00
TX_000044,ACC_0044,ACC_0779,168.75,2026-01-01 00:44:00
TX_000045,ACC_0045,ACC_0796,172.50,2026-01-01 00:45:00
TX_000046,ACC_0046,ACC_0813,176.25,2026-01-01 00:46:00
TX_000047,ACC_0047,ACC_0830,180.00,2026-01-01 00:47:00
TX_000048,ACC_0048,ACC_0847,183.75,2026-01-01 00:48:00
TX_000049,ACC_0049,ACC_0864,187.50,2026-01-01 00:49:00
TX_000050,ACC_0050,ACC_0881,191.25,2026-01-01 00:50:00
TX_000051,ACC_0051,ACC_0898,195.00,2026-01-01 00:51:00
TX_000052,ACC_0052,ACC_0915,198.75,2026-01-01 00:52:00
TX_000053,ACC_0053,ACC_0932,202.50,2026-01-01 00:53:00
TX_000054,ACC_0054,ACC_0949,206.25,2026-01-01 00:54:00
TX_000055,ACC_0055,ACC_0966,210.00,2026-01-01 00:55:00
TX_000056,ACC_0056,ACC_0983,213.75,2026-01-01 00:56:00
TX_000057,ACC_0057,ACC_1000,217.50,2026-01-01 00:57:00
TX_000058,ACC_0058,ACC_1017,221.25,2026-01-01 00:58:00
TX_000059,ACC_0059,ACC_1034,225.00,2026-01-01 00:59:00
TX_000060,ACC_0060,ACC_1051,228.75,2026-01-01 01:00:00
TX_000061,ACC_0061,ACC_1068,232.50,2026-01-01 01:01:00
TX_000062,ACC_0062,ACC_1085,236.25,2026-01-01 01:02:00
TX_000063,ACC_0063,ACC_1102,240.00,2026-01-01 01:03:00
TX_000064,ACC_0064,ACC_1119,243.75,2026-01-01 01:04:00
TX_000065,ACC_0065,ACC_1136,247.50,2026-01-01 01:05:00
TX_000066,ACC_0066,ACC_1153,251.25,2026-01-01 01:06:00
TX_000067,ACC_0067,ACC_1170,255.00,2026-01-01 01:07:00
TX_000068,ACC_0068,ACC_1187,258.75,2026-01-01 01:08:00
TX_000069,ACC_0069,ACC_0004,262.50,2026-01-01 01:09:00
TX_000070,ACC_0070,ACC_0021,266.25,2026-01-01 01:10:00
TX_000071,ACC_0071,ACC_0038,270.00,2026-01-01 01:11:00
TX_000072,ACC_0072,ACC_0055,273.75,2026-01-01 01:12:00
TX_000073,ACC_0073,ACC_0072,277.50,2026-01-01 01:13:00
TX_000074,ACC_0074,ACC_0089,281.25,2026-01-01 01:14:00
TX_000075,ACC_0075,ACC_0106,285.00,2026-01-01 01:15:00
TX_000076,ACC_0076,ACC_0123,288.75,2026-01-01 01:16:00
TX_000077,ACC_0077,ACC_0140,292.50,2026-01-01 01:17:00
TX_000078,ACC_0078,ACC_0157,296.25,2026-01-01 01:18:00
TX_000079,ACC_0079,ACC_0174,300.00,2026-01-01 01:19:00
TX_000080,ACC_0080,ACC_0191,303.75,2026-01-01 01:20:00
TX_000081,ACC_0081,ACC_0208,307.50,2026-01-01 01:21:00
TX_000082,ACC_0082,ACC_0225,311.25,2026-01-01 01:22:00
TX_000083,ACC_0083,ACC_0242,315.00,2026-01-01 01:23:00
TX_000084,ACC_0084,ACC_0259,318.75,2026-01-01 01:24:00
TX_000085,ACC_0085,ACC_0276,322.50,2026-01-01 01:25:00
TX_000086,ACC_0086,ACC_0293,326.25,2026-01-01 01:26:00
TX_000087,ACC_0087,ACC_0310,330.00,2026-01-01 01:27:00
TX_000088,ACC_0088,ACC_0327,333.75,2026-01-01 01:28:00
TX_000089,ACC_0089,ACC_0344,337.50,2026-01-01 01:29:00
TX_000090,ACC_0090,ACC_0361,341.25,2026-01-01 01:30:00
TX_000091,ACC_0091,ACC_0378,345.00,2026-01-01 01:31:00
TX_000092,ACC_0092,ACC_0395,348.75,2026-01-01 01:32:00
TX_000093,ACC_0093,ACC_0412,352.50,2026-01-01 01:33:00
TX_000094,ACC_0094,ACC_0429,356.25,2026-01-01 01:34:00
TX_000095,ACC_0095,ACC_0446,360.00,2026-01-01 01:35:00
TX_000096,ACC_0096,ACC_0463,363.75,2026-01-01 01:36:00
TX_000097,ACC_0097,ACC_0480,367.50,2026-01-01 01:37:00
TX_000098,ACC_0098,ACC_0497,371.25,2026-01-01 01:38:00
TX_000099,ACC_0099,ACC_0514,375.00,2026-01-01 01:39:00
TX_000100,ACC_0100,ACC_0531,378.75,2026-01-01 01:40:00
TX_000101,ACC_0101,ACC_0548,382.50,2026-01-01 01:41:00
TX_000102,ACC_0102,ACC_0565,386.25,2026-01-01 01:42:00
TX_000103,ACC_0103,ACC_0582,390.00,2026-01-01 01:43:00
TX_000104,ACC_0104,ACC_0599,393.75,2026-01-01 01:44:00
TX_000105,ACC_0105,ACC_0616,397.50,2026-01-01 01:45:00
TX_000106,ACC_0106,ACC_0633,401.25,2026-01-01 01:46:00
TX_000107,ACC_0107,ACC_0650,405.00,2026-01-01 01:47:00
TX_000108,ACC_0108,ACC_0667,408.75,2026-01-01 01:48:00
TX_000109,ACC_0109,ACC_0684,412.50,2026-01-01 01:49:00
TX_000110,ACC_0110,ACC_0701,416.25,2026-01-01 01:50:00
TX_000111,ACC_0111,ACC_0718,420.00,2026-01-01 01:51:00
TX_000112,ACC_0112,ACC_0735,423.75,2026-01-01 01:52:00
TX_000113,ACC_0113,ACC_0752,427.50,2026-01-01 01:53:00
TX_000114,ACC_0114,ACC_0769,431.25,2026-01-01 01:54:00
TX_000115,ACC_0115,ACC_0786,435.00,2026-01-01 01:55:00
TX_000116,ACC_0116,ACC_0803,438.75,2026-01-01 01:56:00
TX_000117,ACC_0117,ACC_0820,442.50,2026-01-01 01:57:00
TX_000118,ACC_0118,ACC_0837,446.25,2026-01-01 01:58:00
TX_000119,ACC_0119,ACC_0854,450.00,2026-01-01 01:59:00
TX_000120,ACC_0120,ACC_0871,453.75,2026-01-01 02:00:00
TX_000121,ACC_0121,ACC_0888,457.50,2026-01-01 02:01:00
TX_000122,ACC_0122,ACC_0905,461.25,2026-01-01 02:02:00
TX_000123,ACC_0123,ACC_0922,465.00,2026-01-01 02:03:00
TX_000124,ACC_0124,ACC_0939,468.75,2026-01-01 02:04:00
TX_000125,ACC_0125,ACC_0956,472.50,2026-01-01 02:05:00
TX_000126,ACC_0126,ACC_0973,476.25,2026-01-01 02:06:00
TX_000127,ACC_0127,ACC_0990,480.00,2026-01-01 02:07:00
TX_000128,ACC_0128,ACC_1007,483.75,2026-01-01 02:08:00
TX_000129,ACC_0129,ACC_1024,487.50,2026-01-01 02:09:00
TX_000130,ACC_0130,ACC_1041,491.25,2026-01-01 02:10:00
TX_000131,ACC_0131,ACC_1058,495.00,2026-01-01 02:11:00
TX_000132,ACC_0132,ACC_1075,498.75,2026-01-01 02:12:00
TX_000133,ACC_0133,ACC_1092,502.50,2026-01-01 02:13:00
TX_000134,ACC_0134,ACC_1109,506.25,2026-01-01 02:14:00
TX_000135,ACC_0135,ACC_1126,510.00,2026-01-01 02:15:00
TX_000136,ACC_0136,ACC_1143,513.75,2026-01-01 02:16:00
TX_000137,ACC_0137,ACC_1160,517.50,2026-01-01 02:17:00
TX_000138,ACC_0138,ACC_1177,521.25,2026-01-01 02:18:00
TX_000139,ACC_0139,ACC_1194,525.00,2026-01-01 02:19:00
TX_000140,ACC_0140,ACC_0011,528.75,2026-01-01 02:20:00
TX_000141,ACC_0141,ACC_0028,532.50,2026-01-01 02:21:00
TX_000142,ACC_0142,ACC_0045,536.25,2026-01-01 02:22:00
TX_000143,ACC_0143,ACC_0062,540.00,2026-01-01 02:23:00
TX_000144,ACC_0144,ACC_0079,543.75,2026-01-01 02:24:00
TX_000145,ACC_0145,ACC_0096,547.50,2026-01-01 02:25:00
TX_000146,ACC_0146,ACC_0113,551.25,2026-01-01 02:26:00
TX_000147,ACC_0147,ACC_0130,555.00,2026-01-01 02:27:00
TX_000148,ACC_0148,ACC_0147,558.75,2026-01-01 02:28:00
TX_000149,ACC_0149,ACC_0164,562.50,2026-01-01 02:29:00
TX_000150,ACC_0150,ACC_0181,566.25,2026-01-01 02:30:00
TX_000151,ACC_0151,ACC_0198,570.00,2026-01-01 02:31:00
TX_000152,ACC_0152,ACC_0215,573.75,2026-01-01 02:32:00
TX_000153,ACC_0153,ACC_0232,577.50,2026-01-01 02:33:00
TX_000154,ACC_0154,ACC_0249,581.25,2026-01-01 02:34:00
TX_000155,ACC_0155,ACC_0266,585.00,2026-01-01 02:35:00
TX_000156,ACC_0156,ACC_0283,588.75,2026-01-01 02:36:00
TX_000157,ACC_0157,ACC_0300,592.50,2026-01-01 02:37:00
TX_000158,ACC_0158,ACC_0317,596.25,2026-01-01 02:38:00
TX_000159,ACC_0159,ACC_0334,600.00,2026-01-01 02:39:00
TX_000160,ACC_0160,ACC_0351,603.75,2026-01-01 02:40:00
TX_000161,ACC_0161,ACC_0368,607.50,2026-01-01 02:41:00
TX_000162,ACC_0162,ACC_0385,611.25,2026-01-01 02:42:00
TX_000163,ACC_0163,ACC_0402,615.00,2026-01-01 02:43:00
TX_000164,ACC_0164,ACC_0419,618.75,2026-01-01 02:44:00
TX_000165,ACC_0165,ACC_0436,622.50,2026-01-01 02:45:00
TX_000166,ACC_0166,ACC_0453,626.25,2026-01-01 02:46:00
TX_000167,ACC_0167,ACC_0470,630.00,2026-01-01 02:47:00
TX_000168,ACC_0168,ACC_0487,633.75,2026-01-01 02:48:00
TX_000169,ACC_0169,ACC_0504,637.50,2026-01-01 02:49:00
TX_000170,ACC_0170,ACC_0521,641.25,2026-01-01 02:50:00
TX_000171,ACC_0171,ACC_0538,645.00,2026-01-01 02:51:00
TX_000172,ACC_0172,ACC_0555,648.75,2026-01-01 02:52:00
TX_000173,ACC_0173,ACC_0572,652.50,2026-01-01 02:53:00
TX_000174,ACC_0174,ACC_0589,656.25,2026-01-01 02:54:00
TX_000175,ACC_0175,ACC_0606,660.00,2026-01-01 02:55:00
TX_000176,ACC_0176,ACC_0623,663.75,2026-01-01 02:56:00
TX_000177,ACC_0177,ACC_0640,667.50,2026-01-01 02:57:00
TX_000178,ACC_0178,ACC_0657,671.25,2026-01-01 02:58:00
TX_000179,ACC_0179,ACC_0674,675.00,2026-01-01 02:59:00
TX_000180,ACC_0180,ACC_0691,678.75,2026-01-01 03:00:00
TX_000181,ACC_0181,ACC_0708,682.50,2026-01-01 03:01:00
TX_000182,ACC_0182,ACC_0725,686.25,2026-01-01 03:02:00
TX_000183,ACC_0183,ACC_0742,690.00,2026-01-01 03:03:00
TX_000184,ACC_0184,ACC_0759,693.75,2026-01-01 03:04:00
TX_000185,ACC_0185,ACC_0776,697.50,2026-01-01 03:05:00
TX_000186,ACC_0186,ACC_0793,701.25,2026-01-01 03:06:00
TX_000187,ACC_0187,ACC_0810,705.00,2026-01-01 03:07:00
TX_000188,ACC_0188,ACC_0827,708.75,2026-01-01 03:08:00
TX_000189,ACC_0189,ACC_0844,712.50,2026-01-01 03:09:00
TX_000190,ACC_0190,ACC_0861,716.25,2026-01-01 03:10:00
TX_000191,ACC_0191,ACC_0878,720.00,2026-01-01 03:11:00
TX_000192,ACC_0192,ACC_0895,723.75,2026-01-01 03:12:00
TX_000193,ACC_0193,ACC_0912,727.50,2026-01-01 03:13:00
TX_000194,ACC_0194,ACC_0929,731.25,2026-01-01 03:14:00
TX_000195,ACC_0195,ACC_0946,735.00,2026-01-01 03:15:00
TX_000196,ACC_0196,ACC_0963,738.75,2026-01-01 03:16:00
TX_000197,ACC_0197,ACC_0980,742.50,2026-01-01 03:17:00
TX_000198,ACC_0198,ACC_0997,746.25,2026-01-01 03:18:00
TX_000199,ACC_0199,ACC_1014,750.00,2026-01-01 03:19:00
TX_000200,ACC_0200,ACC_1031,753.75,2026-01-01 03:20:00
TX_000201,ACC_0201,ACC_1048,757.50,2026-01-01 03:21:00
TX_000202,ACC_0202,ACC_1065,761.25,2026-01-01 03:22:00
TX_000203,ACC_0203,ACC_1082,765.00,2026-01-01 03:23:00
TX_000204,ACC_0204,ACC_1099,768.75,2026-01-01 03:24:00
TX_000205,ACC_0205,ACC_1116,772.50,2026-01-01 03:25:00
TX_000206,ACC_0206,ACC_1133,776.25,2026-01-01 03:26:00
TX_000207,ACC_0207,ACC_1150,780.00,2026-01-01 03:27:00
TX_000208,ACC_0208,ACC_1167,783.75,2026-01-01 03:28:00
TX_000209,ACC_0209,ACC_1184,787.50,2026-01-01 03:29:00
TX_000210,ACC_0210,ACC_0001,791.25,2026-01-01 03:30:00
TX_000211,ACC_0211,ACC_0018,795.00,2026-01-01 03:31:00
TX_000212,ACC_0212,ACC_0035,798.75,2026-01-01 03:32:00
TX_000213,ACC_0213,ACC_0052,802.50,2026-01-01 03:33:00
TX_000214,ACC_0214,ACC_0069,806.25,2026-01-01 03:34:00
TX_000215,ACC_0215,ACC_0086,810.00,2026-01-01 03:35:00
TX_000216,ACC_0216,ACC_0103,813.75,2026-01-01 03:36:00
TX_000217,ACC_0217,ACC_0120,817.50,2026-01-01 03:37:00
TX_000218,ACC_0218,ACC_0137,821.25,2026-01-01 03:38:00
TX_000219,ACC_0219,ACC_0154,825.00,2026-01-01 03:39:00
TX_000220,ACC_0220,ACC_0171,828.75,2026-01-01 03:40:00
TX_000221,ACC_0221,ACC_0188,832.50,2026-01-01 03:41:00
TX_000222,ACC_0222,ACC_0205,836.25,2026-01-01 03:42:00
TX_000223,ACC_0223,ACC_0222,840.00,2026-01-01 03:43:00
TX_000224,ACC_0224,ACC_0239,843.75,2026-01-01 03:44:00
TX_000225,ACC_0225,ACC_0256,847.50,2026-01-01 03:45:00
TX_000226,ACC_0226,ACC_0273,851.25,2026-01-01 03:46:00
TX_000227,ACC_0227,ACC_0290,855.00,2026-01-01 03:47:00
TX_000228,ACC_0228,ACC_0307,858.75,2026-01-01 03:48:00
TX_000229,ACC_0229,ACC_0324,862.50,2026-01-01 03:49:00
TX_000230,ACC_0230,ACC_0341,866.25,2026-01-01 03:50:00
TX_000231,ACC_0231,ACC_0358,870.00,2026-01-01 03:51:00
TX_000232,ACC_0232,ACC_0375,873.75,2026-01-01 03:52:00
TX_000233,ACC_0233,ACC_0392,877.50,2026-01-01 03:53:00
TX_000234,ACC_0234,ACC_0409,881.25,2026-01-01 03:54:00
TX_000235,ACC_0235,ACC_0426,885.00,2026-01-01 03:55:00
TX_000236,ACC_0236,ACC_0443,888.75,2026-01-01 03:56:00
TX_000237,ACC_0237,ACC_0460,892.50,2026-01-01 03:57:00
TX_000238,ACC_0238,ACC_0477,896.25,2026-01-01 03:58:00
TX_000239,ACC_0239,ACC_0494,900.00,2026-01-01 03:59:00
TX_000240,ACC_0240,ACC_0511,903.75,2026-01-01 04:00:00
TX_000241,ACC_0241,ACC_0528,907.50,2026-01-01 04:01:00
TX_000242,ACC_0242,ACC_0545,911.25,2026-01-01 04:02:00
TX_000243,ACC_0243,ACC_0562,915.00,2026-01-01 04:03:00
TX_000244,ACC_0244,ACC_0579,918.75,2026-01-01 04:04:00
