transaction_id,sender_id,receiver_id,amount,timestamp
TS001,SRC_A,SH1,1400.00,2026-01-10 08:00:00
TS002,SH1,SH2,1398.00,2026-01-10 08:10:00
TS003,SH2,SH3,1396.00,2026-01-10 08:20:00
TS004,SH3,DST_A,1394.00,2026-01-10 08:30:00
TS005,SRC_B,SH1,1410.00,2026-01-10 09:00:00
TS006,SH3,DST_B,1388.00,2026-01-10 09:10:00
TS007,NORMAL_1,NORMAL_2,80.00,2026-01-10 10:00:00
TS008,NORMAL_2,NORMAL_3,82.00,2026-01-10 10:10:00
TS009,NORMAL_3,NORMAL_4,81.00,2026-01-10 10:20:00
TS010,DST_A,BRIDGE_1,700.00,2026-01-10 11:00:00
TS011,BRIDGE_1,BRIDGE_2,690.00,2026-01-10 11:10:00
TS012,BRIDGE_2,DST_C,680.00,2026-01-10 11:20:00
